Day Index,Sessions
2015-09-11,626
2015-09-12,380
2015-09-13,362
2015-09-14,3651
2015-09-15,1541
2015-09-16,1075
2015-09-17,1320
2015-09-18,1286
2015-09-19,830
2015-09-20,639
2015-09-21,1050
2015-09-22,994
2015-09-23,894
2015-09-24,775
2015-09-25,695
2015-09-26,427
2015-09-27,534
2015-09-28,893
2015-09-29,886
2015-09-30,768
2015-10-01,744
2015-10-02,657
2015-10-03,433
2015-10-04,411
2015-10-05,722
2015-10-06,776
2015-10-07,879
2015-10-08,875
2015-10-09,694
2015-10-10,424
2015-10-11,641
2015-10-12,798
2015-10-13,833
2015-10-14,841
2015-10-15,834
2015-10-16,719
2015-10-17,403
2015-10-18,459
2015-10-19,782
2015-10-20,830
2015-10-21,777
2015-10-22,730
2015-10-23,711
2015-10-24,429
2015-10-25,470
2015-10-26,2143
2015-10-27,1311
2015-10-28,904
2015-10-29,807
2015-10-30,749
2015-10-31,396
2015-11-01,483
2015-11-02,824
2015-11-03,832
2015-11-04,897
2015-11-05,894
2015-11-06,745
2015-11-07,383
2015-11-08,487
2015-11-09,810
2015-11-10,826
2015-11-11,709
2015-11-12,832
2015-11-13,702
2015-11-14,402
2015-11-15,439
2015-11-16,884
2015-11-17,1109
2015-11-18,1042
2015-11-19,891
2015-11-20,739
2015-11-21,407
2015-11-22,421
2015-11-23,855
2015-11-24,839
2015-11-25,748
2015-11-26,632
2015-11-27,489
2015-11-28,409
2015-11-29,432
2015-11-30,872
2015-12-01,833
2015-12-02,806
2015-12-03,762
2015-12-04,641
2015-12-05,414
2015-12-06,448
2015-12-07,1868
2015-12-08,1695
2015-12-09,1011
2015-12-10,1395
2015-12-11,1137
2015-12-12,534
2015-12-13,595
2015-12-14,1025
2015-12-15,967
2015-12-16,844
2015-12-17,788
2015-12-18,640
2015-12-19,390
2015-12-20,392
2015-12-21,715
2015-12-22,773
2015-12-23,555
2015-12-24,147
2015-12-25,313
2015-12-26,297
2015-12-27,350
2015-12-28,567
2015-12-29,582
2015-12-30,842
2015-12-31,1214
2016-01-01,460
2016-01-02,443
2016-01-03,440
2016-01-04,790
2016-01-05,767
2016-01-06,835
2016-01-07,811
2016-01-08,720
2016-01-09,422
2016-01-10,435
2016-01-11,873
2016-01-12,844
2016-01-13,836
2016-01-14,791
2016-01-15,738
2016-01-16,339
2016-01-17,481
2016-01-18,786
2016-01-19,913
2016-01-20,862
2016-01-21,923
2016-01-22,745
2016-01-23,441
2016-01-24,540
2016-01-25,878
2016-01-26,1524
2016-01-27,1050
2016-01-28,1303
2016-01-29,1157
2016-01-30,765
2016-01-31,701
2016-02-01,1073
2016-02-02,1077
2016-02-03,1060
2016-02-04,951
2016-02-05,862
2016-02-06,503
2016-02-07,488
2016-02-08,970
2016-02-09,913
2016-02-10,908
2016-02-11,922
2016-02-12,791
2016-02-13,517
2016-02-14,476
2016-02-15,941
2016-02-16,1004
2016-02-17,944
2016-02-18,953
2016-02-19,878
2016-02-20,530
2016-02-21,580
2016-02-22,956
2016-02-23,918
2016-02-24,924
2016-02-25,956
2016-02-26,851
2016-02-27,446
2016-02-28,504
2016-02-29,928
2016-03-01,975
2016-03-02,957
2016-03-03,947
2016-03-04,832
2016-03-05,460
2016-03-06,520
2016-03-07,964
2016-03-08,1041
2016-03-09,988
2016-03-10,972
2016-03-11,798
2016-03-12,446
2016-03-13,512
2016-03-14,1025
2016-03-15,1039
2016-03-16,1039
2016-03-17,963
2016-03-18,846
2016-03-19,521
2016-03-20,563
2016-03-21,948
2016-03-22,966
2016-03-23,914
2016-03-24,874
2016-03-25,709
2016-03-26,457
2016-03-27,475
2016-03-28,862
2016-03-29,977
2016-03-30,971
2016-03-31,931
2016-04-01,804
2016-04-02,462
2016-04-03,552
2016-04-04,996
2016-04-05,1058
2016-04-06,2025
2016-04-07,2601
2016-04-08,1629
2016-04-09,873
2016-04-10,852
2016-04-11,1337
2016-04-12,1305
2016-04-13,1163
2016-04-14,1064
2016-04-15,1023
2016-04-16,542
2016-04-17,638
2016-04-18,1070
2016-04-19,1247
2016-04-20,1205
2016-04-21,1092
2016-04-22,959
2016-04-23,536
2016-04-24,579
2016-04-25,1149
2016-04-26,1199
2016-04-27,1163
2016-04-28,1046
2016-04-29,905
2016-04-30,553
2016-05-01,581
2016-05-02,1014
2016-05-03,1124
2016-05-04,1036
2016-05-05,945
2016-05-06,846
2016-05-07,448
2016-05-08,562
2016-05-09,1075
2016-05-10,1088
2016-05-11,1058
2016-05-12,1083
2016-05-13,1021
2016-05-14,581
2016-05-15,645
2016-05-16,1039
2016-05-17,1400
2016-05-18,1224
2016-05-19,1027
2016-05-20,972
2016-05-21,542
2016-05-22,568
2016-05-23,1083
2016-05-24,1148
2016-05-25,1139
2016-05-26,1085
2016-05-27,933
2016-05-28,468
2016-05-29,461
2016-05-30,892
2016-05-31,1074
2016-06-01,1106
2016-06-02,1037
2016-06-03,946
2016-06-04,483
2016-06-05,497
2016-06-06,1114
2016-06-07,1113
2016-06-08,1166
2016-06-09,1157
2016-06-10,939
2016-06-11,467
2016-06-12,549
2016-06-13,1194
2016-06-14,1165
2016-06-15,1749
2016-06-16,1601
2016-06-17,1239
2016-06-18,597
2016-06-19,607
2016-06-20,1313
2016-06-21,1211
2016-06-22,1201
2016-06-23,1202
2016-06-24,969
2016-06-25,549
2016-06-26,546
2016-06-27,1079
2016-06-28,1242
2016-06-29,1109
2016-06-30,1130
2016-07-01,854
2016-07-02,498
2016-07-03,525
2016-07-04,824
2016-07-05,1094
2016-07-06,1196
2016-07-07,1082
2016-07-08,963
2016-07-09,517
2016-07-10,492
2016-07-11,1156
2016-07-12,1131
2016-07-13,1101
2016-07-14,1099
2016-07-15,965
2016-07-16,503
2016-07-17,556
2016-07-18,1097
2016-07-19,1171
2016-07-20,1135
2016-07-21,1133
2016-07-22,973
2016-07-23,516
2016-07-24,527
2016-07-25,1163
2016-07-26,1128
2016-07-27,1106
2016-07-28,1074
2016-07-29,867
2016-07-30,497
2016-07-31,556
2016-08-01,1095
2016-08-02,1192
2016-08-03,1162
2016-08-04,1047
2016-08-05,937
2016-08-06,411
2016-08-07,554
2016-08-08,1128
2016-08-09,1099
2016-08-10,1105
2016-08-11,1035
2016-08-12,933
2016-08-13,467
2016-08-14,550
2016-08-15,938
2016-08-16,1219
2016-08-17,1135
2016-08-18,1088
2016-08-19,973
2016-08-20,498
2016-08-21,569
2016-08-22,1196
2016-08-23,1562
2016-08-24,1609
2016-08-25,1280
2016-08-26,1099
